a	A
i	I
u	U
e	E
o	O
k_a	ka/
k_i	ki/
k_u	ku/
k_e	ke/
k_o	ko
ky_a	kya
ky_e	kye
ky_i	kyi
ky_o	kyo
ky_u	kyu
s_a	sa/
s_e	se/
s_i	si/
s_o	so
s_u	su/
sh_a	sha/
sh_e	she/
sh_i	shi/
sh_o	sho
sh_u	shu/
t_a	ta/
t_e	te/
t_i	ti/
t_o	to
t_u	tu/
h_a	ha/
h_e	he/
h_i	hi/
h_o	ho/
h_u	hu/
hy_a	hya
hy_e	hye
hy_i	hyi
hy_o	hyo
hy_u	hyu
g_a	ga/
g_e	ge/
g_i	gi/
g_o	go
g_u	gu/
gy_a	gya
gy_e	gye
gy_i	gyi
gy_u	gyu
gy_o	gyo
z_a	za/
z_e	ze/
z_i	zi/
z_o	zo
z_u	zu/
d_a	da/
d_e	de/
d_i	di/
d_o	do
d_u	du/
b_a	ba/
b_e	be/
b_i	bi/
b_o	bo/
b_u	bu/
p_a	pa/
p_e	pe/
p_i	pi/
p_o	po/
p_u	pu/
py_a	pya
py_e	pye
py_i	pyi
py_o	pyo
py_u	pyu
j_a	ja
j_e	je
j_i	ji/
j_o	jo
j_u	ju/
f_a	fa/
f_e	fe/
f_i	fi/
f_o	fo/
f_u	fu/
ch_a	cha/
ch_e	che/
ch_i	chi/
ch_o	cho
ch_u	chu/
z_a	tsa
z_e	tse
z_i	tsi
z_o	tso
z_u	tsu
n_a	na/
n_e	ne/
n_i	ni/
n_o	no
n_u	nu/
ny_a	nya
ny_e	nye
ny_i	nyi
ny_o	nyo
ny_u	nyu
m_a	ma/
m_e	me/
m_i	mi/
m_o	mo/
m_u	mu/
my_a	mya
my_e	mye
my_i	myi
my_o	myo
my_u	myu
r_a	ra/
r_e	re/
r_i	ri/
r_o	ro
r_u	ru/
ry_a	rya
ry_e	rye
ry_i	ryi
ry_u	ryu
ry_o	ryo
y_a	ya/
y_e	ye/
y_i	yi/
y_o	yo/
y_u	yu/
w_a	wa/
w_e	we/
w_i	wi/
w_o	wo/
w_u	wu/
